price,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,priceByArea,hasParkingSpace,isParkingSpaceIncludedInPrice,typology,subtitle,floor,exterior,hasLift
795000.0,flat,201.0,2,2,madrid,40.4442228,-3.6426741,newdevelopment,3955.0,1,1,flat,concepción,intermedio,1,1
330000.0,flat,65.0,1,1,madrid,40.419601,-3.7040219,good,5077.0,0,0,flat,sol,intermedio,0,1
170000.0,chalet,110.0,3,1,campo real,40.3399531,-3.3822931,good,1545.0,0,0,chalet,campo real,alto,1,0
945000.0,penthouse,185.0,3,3,madrid,40.4360269,-3.6956074,good,5108.0,0,0,flat,almagro,mediano,1,1
450000.0,flat,110.0,3,2,villaviciosa de odón,40.3628032,-3.9149046,renew,4091.0,1,1,flat,centro,intermedio,1,1
379000.0,flat,60.0,3,1,madrid,40.4313319,-3.6739798,good,6317.0,0,0,flat,lista,mediano,0,1
950000.0,duplex,155.0,3,2,madrid,40.4182056,-3.7131581,good,6129.0,0,0,flat,palacio,bajo,1,1
440000.0,flat,76.0,1,1,madrid,40.4196471,-3.7081106,good,5789.0,0,0,flat,palacio,intermedio,1,1
45000.0,chalet,80.0,3,1,guadalix de la sierra,40.7817409,-3.6906305,renew,563.0,0,0,chalet,guadalix de la sierra,alto,1,0
160000.0,flat,55.0,2,1,getafe,40.3013232,-3.7373696,renew,2909.0,0,0,flat,la alhóndiga,bajo,1,0
770000.0,flat,130.0,2,2,madrid,40.4188536,-3.7005249,good,5923.0,0,0,flat,chueca-justicia,intermedio,0,1
275000.0,chalet,180.0,5,2,robledo de chavela,40.5217611,-4.2558251,good,1528.0,1,1,chalet,robledo de chavela,alto,1,0
270000.0,flat,60.0,1,1,madrid,40.4634397,-3.6968193,good,4500.0,0,0,flat,cuzco-castillejos,bajo,1,1
410000.0,studio,179.0,0,1,madrid,40.4442228,-3.6426741,newdevelopment,2291.0,1,1,flat,concepción,flat,1,1
495000.0,duplex,84.0,1,1,madrid,40.4604282,-3.6266193,good,5893.0,1,1,flat,conde orgaz-piovera,intermedio,1,1
220000.0,penthouse,52.0,1,1,madrid,40.4429556,-3.5843227,good,4231.0,1,0,flat,rejas,mediano,0,1
715000.0,flat,140.0,4,3,madrid,40.4078988,-3.6869759,good,5107.0,0,0,flat,jerónimos,intermedio,1,1
315000.0,flat,140.0,4,2,san lorenzo de el escorial,40.5980505,-4.1445881,good,2250.0,0,0,flat,abantos - carmelitas,intermedio,1,0
205000.0,penthouse,83.0,2,2,collado villalba,40.6284573,-4.0084811,good,2470.0,0,0,flat,villalba estación,intermedio,1,1
59000.0,flat,80.0,3,1,ciempozuelos,40.1517624,-3.6161675,good,738.0,0,0,flat,cuevas - ilustración,bajo,1,1
352000.0,chalet,150.0,4,3,meco,40.5472567,-3.3300527,good,2347.0,0,0,chalet,meco,alto,1,0
213000.0,flat,104.0,3,2,madrid,40.4796385,-3.6988317,good,2048.0,1,1,flat,la paz,mediano,1,1
379000.0,chalet,269.0,3,2,móstoles,40.3151167,-3.9350987,good,1409.0,0,0,chalet,coimbra - guadarrama,alto,1,0
229000.0,flat,47.0,1,1,madrid,40.4574606,-3.7037119,good,4872.0,0,0,flat,berruguete,bajo,1,1
109500.0,countryhouse,116.0,2,2,pinilla del valle,40.9277837,-3.819162,good,944.0,0,0,countryhouse,pinilla del valle,muy alto,1,0
195900.0,flat,85.0,3,2,san fernando de henares,40.4195332,-3.5261165,good,2305.0,1,1,flat,parque roma - coronas,intermedio,1,1
89000.0,flat,57.0,3,1,madrid,40.4241418,-3.6521683,renew,1561.0,0,0,flat,ventas,bajo,1,0
152000.0,flat,84.0,3,1,madrid,40.4745827,-3.6367755,renew,1810.0,0,0,flat,pinar del rey,intermedio,1,0
193000.0,flat,61.0,1,1,madrid,40.4275895,-3.6397357,good,3164.0,1,0,flat,pueblo nuevo,intermedio,1,1
65900.0,flat,80.0,3,1,cenicientos,40.2628675,-4.463419,good,824.0,0,0,flat,cenicientos,intermedio,1,0
179000.0,flat,96.0,3,2,alcalá de henares,40.4735232,-3.3644611,good,1865.0,0,0,flat,venecia - nueva alcalá,mediano,1,1
265000.0,flat,53.0,2,1,alcobendas,40.5482793,-3.6369892,newdevelopment,5000.0,1,0,flat,ensanche,bajo,1,1
415000.0,flat,133.0,4,3,madrid,40.4877322,-3.6653811,good,3120.0,0,0,flat,virgen del cortijo - manoteras,intermedio,1,1
561947.0,penthouse,117.0,1,1,madrid,40.3886336,-3.6937319,newdevelopment,4803.0,1,1,flat,legazpi,mediano,1,1
